a 1 | 6eil. 36
adresų 1 | 38eil. 2
ai 1 | 38eil. 26
aikštumą 1 | 14eil. 24
akumuliacinio 1 | 18eil. 4
alyta 1 | 6eil. 48
alytus 1 | 6eil. 52
alėja 1 | 35eil. 13
ambasados 1 | 1eil. 42
ankstesnių 1 | 40eil. 7
antakalnio 1 | 33eil. 39
antavilio 1 | 25eil. 14
antavilis 1 | 21eil. 50
antavilių 2 | 25eil. 10, 33eil. 15
apdorojamą 1 | 37eil. 38
apie 2 | 6eil. 34, 37eil. 19
aplink 1 | 33eil. 24
apskrities 1 | 1eil. 5
ar 2 | 38eil. 36, 41eil. 7
arkivyskupijos 1 | 1eil. 16
asociatyvių 1 | 41eil. 4
atodanga 3 | 14eil. 95, 14eil. 97, 14eil. 99
atsiveria 1 | 14eil. 91
atstovybės 2 | 1eil. 44, 1eil. 49
atveju 1 | 38eil. 10
auga 3 | 33eil. 27, 33eil. 33, 33eil. 57
augalų 1 | 35eil. 26
augavietė 2 | 35eil. 30, 35eil. 33
augaviečių 1 | 35eil. 28
aukštaičių 1 | 14eil. 23
aukštuma 1 | 14eil. 29
aukštumos 2 | 14eil. 71, 14eil. 82
aukštumą 1 | 14eil. 19
aukštumų 1 | 14eil. 3
aukščiausiai 1 | 16eil. 9
aukščiausiasis 1 | 1eil. 36
aukščiausios 1 | 1eil. 24
aukščiausių 1 | 33eil. 59
aštuonių 1 | 35eil. 18
balsys 1 | 25eil. 28
baltiešos 1 | 25eil. 43
baltijos 2 | 9eil. 17, 14eil. 2
baltupiais 1 | 14eil. 39
baltupių 1 | 35eil. 29
balžio 1 | 25eil. 13
baseiną 1 | 21eil. 5
be 1 | 21eil. 39
bebrų 1 | 23eil. 19
bei 2 | 25eil. 19, 25eil. 53
belmonto 1 | 33eil. 40
bendriniu 1 | 6eil. 17
bendrinėje 1 | 6eil. 20
bent 1 | 38eil. 23
bernardinų 1 | 33eil. 82
bet 2 | 37eil. 14, 38eil. 15
bevardžių 1 | 23eil. 4
bus 1 | 41eil. 11
buvo 1 | 39eil. 26
būdamas 1 | 6eil. 86
būti 2 | 6eil. 81, 40eil. 3
būtina 1 | 38eil. 18
būtu 1 | 37eil. 23
būtų 2 | 38eil. 22, 39eil. 9
cedronas 1 | 21eil. 57
cedrono 1 | 25eil. 55
centras 2 | 1eil. 13, 1eil. 17
centrinė 1 | 14eil. 49
centrinėje 1 | 33eil. 70
centro 1 | 9eil. 14
cirkas 1 | 18eil. 17
com 1 | 7eil. 4
count 1 | 37eil. 67
cross 1 | 39eil. 4
dalis 4 | 14eil. 44, 14eil. 51, 25eil. 8, 37eil. 57
dalyje 1 | 33eil. 72
dar 1 | 21eil. 46
darbų 1 | 40eil. 8
daug 1 | 35eil. 43
daugiau 1 | 39eil. 20
daugiausia 2 | 14eil. 75, 33eil. 45
daukšos 1 | 6eil. 112
davusi 1 | 6eil. 7
dažniau 1 | 37eil. 60
dažniausiai 1 | 6eil. 71
dengiantys 1 | 33eil. 37
diplomatinės 1 | 1eil. 45
dramatiško 1 | 29eil. 8
draustinių 1 | 35eil. 44
driekiasi 1 | 33eil. 53
dvarčione 1 | 21eil. 54
dėl 1 | 14eil. 89
